SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
AKG,Akg Exim Limited,EQ,16-Feb-21,2176,11.81
AKI,AKI India Limited,EQ,06-Apr-23,14890,7.84
AKSHAR,Akshar Spintex Limited,EQ,23-May-22,9558,0.53
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-17,20178,247.6
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-Aug-00,8591,6.15
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-Aug-24,24715,421.6
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-01,1467,3565.9
ALANKIT,Alankit Limited,EQ,30-Jun-15,9921,10.77
ALBERTDAVD,Albert David Limited,EQ,14-Jun-16,17256,759.65
ALEMBICLTD,Alembic Limited,EQ,22-Sep-99,79,98.06
ALICON,Alicon Castalloy Limited,EQ,29-Sep-06,13656,841.15
ALIVUS,Alivus Life Sciences Limited,EQ,06-Aug-21,5265,878.6
ALKALI,Alkali Metals Limited,EQ,06-Nov-08,16959,78.12
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-15,11703,5667.5
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,4487,1614.9
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-06,13501,12.54
ALLDIGI,Alldigi Tech Limited,EQ,09-May-05,11798,822.65
ALLTIME,All Time Plastics Limited,EQ,14-Aug-25,758448,266.4
ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-08,16719,16.03
ALOKINDS,Alok Industries Limited,EQ,19-Feb-20,17675,16.24
ALPA,Alpa Laboratories Limited,EQ,06-Aug-07,14848,82.45
ALPHAGEO,Alphageo (India) Limited,EQ,11-May-07,14597,221.3
ALPSINDUS,Alps Industries Limited,EQ,24-Apr-96,4060,2.38
AMANTA,Amanta Healthcare Limited,EQ,09-Sep-25,758909,99.07
AMBER,Amber Enterprises India Limited,EQ,30-Jan-18,1185,6682.5
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-04,11496,25.26
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-08,15234,1228.4
AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-98,1270,533.05
AMDIND,AMD Industries Limited,EQ,19-Mar-07,14398,51.89
AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-95,2598,51.2
AMNPLST,Amines & Plasticizers Limited,EQ,10-Nov-23,19867,175.35
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-Jan-15,17547,661.45
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-Dec-21,7145,2868
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-06,13620,504.65
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-04,166,65.58
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-95,136,76.07
ANGELONE,Angel One Limited,EQ,05-Oct-20,324,2533.5
ANIKINDS,Anik Industries Limited,EQ,21-May-08,16657,52.18
ANMOL,Anmol India Limited,EQ,04-Jun-21,3727,13.86
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-Sep-06,13598,374.35
ANTGRAPHIC,Antarctica Limited,EQ,31-Dec-97,5194,0.95
ANTHEM,Anthem Biosciences Limited,EQ,21-Jul-25,757885,658.55
ANUHPHR,Anuh Pharma Limited,EQ,20-Dec-24,28314,79.12
