SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-Mar-06,13305,797.85
CERA,Cera Sanitaryware Limited,EQ,02-Nov-07,15039,5265
CESC,CESC Limited,EQ,08-Feb-95,628,165.98
CEWATER,Concord Enviro Systems Limited,EQ,27-Dec-24,28764,393.95
CGCL,Capri Global Capital Limited,EQ,29-Oct-10,20329,183.39
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-Mar-95,760,667.8
CHALET,Chalet Hotels Limited,EQ,07-Feb-19,8546,879.2
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-95,637,419.85
CHEMBOND,Chembond Material Technologies Limited,EQ,20-Nov-19,14618,158.36
CHEMBONDCH,Chembond Chemicals Limited,EQ,23-Jul-25,757989,146.33
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-Oct-20,270,202.72
CHEMFAB,Chemfab Alkalis Limited,EQ,25-Apr-18,2799,461.55
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-Aug-21,5449,264.85
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-Jun-00,2049,919.1
CHEVIOT,Cheviot Company Limited,EQ,20-Jun-22,9879,1032.6
CHOICEIN,Choice International Limited,EQ,08-Apr-22,8866,723.6
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,19257,0
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-17,21740,1940.1
CIEINDIA,CIE Automotive India Limited,EQ,30-Aug-07,14937,408.65
CIFL,Capital India Finance Limited,EQ,17-Apr-25,756015,35.49
CIGNITITEC,Cigniti Technologies Limited,EQ,13-Oct-14,5142,1819.5
CINELINE,Cineline India Limited,EQ,13-Jun-12,27161,88.07
CINEVISTA,Cinevista Limited,EQ,02-May-00,8024,14.82
CIPLA,Cipla Limited,EQ,08-Feb-95,694,1490.6
CLEAN,Clean Science and Technology Limited,EQ,19-Jul-21,5049,889.2
CLEDUCATE,CL Educate Limited,EQ,31-Mar-17,20223,82.28
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-21,3482,257.75
CMSINFO,CMS Info Systems Limited,EQ,31-Dec-21,7603,351.05
COALINDIA,Coal India Limited,EQ,04-Nov-10,20374,379.35
COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-17,21508,1617.9
COFORGE,Coforge Limited,EQ,30-Aug-04,11543,1873.5
COHANCE,Cohance Lifesciences Limited,EQ,09-Mar-20,17945,535
COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-07,15141,2158.9
COMPUSOFT,Compucom Software Limited,EQ,02-Mar-12,31138,16.68
CONCOR,Container Corporation of India Limited,EQ,07-May-97,4749,505.65
CONCORDBIO,Concord Biotech Limited,EQ,18-Aug-23,18060,1391.4
CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-19,10238,33.33
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-Mar-05,11731,160.05
CONTROLPR,Control Print Limited,EQ,24-Jun-16,17477,712.75
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-Mar-96,4007,39.85
CORDSCABLE,Cords Cable Industries Limited,EQ,13-Feb-08,15271,184.2
COROMANDEL,Coromandel International Limited,EQ,31-May-95,739,2368.1
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-May-95,742,744.45
COUNCODOS,Country Condo's Limited,EQ,22-Jan-09,16986,5.89
CPCAP,CP Capital Limited,EQ,06-Oct-10,20086,107.82
CPEDU,Career Point Edutech Limited,EQ,05-Sep-25,758941,259.75
CPPLUS,Aditya Infotech Limited,EQ,05-Aug-25,758858,1483.5
CRAFTSMAN,Craftsman Automation Limited,EQ,25-Mar-21,2854,7076
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-Oct-25,759311,278.2
CREATIVE,Creative Newtech Limited,EQ,05-Aug-19,11155,739.4
CREATIVEYE,Creative Eye Limited,EQ,20-Dec-00,9384,6.94
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-18,4421,1268.4
CREST,Crest Ventures Limited,EQ,27-Dec-06,13900,356.85
CRISIL,CRISIL Limited,EQ,28-Jun-95,757,4398.2
CRIZAC,Crizac Limited,EQ,09-Jul-25,757850,275.65
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-May-16,17094,253.15
CROWN,Crown Lifters Limited,EQ,08-Feb-22,8083,130.5
CSBBANK,CSB Bank Limited,EQ,04-Dec-19,14966,395.95
CSLFINANCE,CSL Finance Limited,EQ,21-Jul-22,10350,288.2
CTE,Cambridge Technology Enterprises Limited,EQ,07-Feb-07,14218,37.49
CUB,City Union Bank Limited,EQ,25-Aug-98,5701,264.4
CUBEXTUB,Cubex Tubings Limited,EQ,24-Apr-96,4064,86.4
CUMMINSIND,Cummins India Limited,EQ,29-Mar-95,1901,4479.1
CUPID,Cupid Limited,EQ,16-Sep-16,18520,391.55
CYIENT,Cyient Limited,EQ,30-Sep-98,5748,1131.6
CYIENTDLM,Cyient DLM Limited,EQ,10-Jul-23,17187,420.65
DABUR,Dabur India Limited,EQ,28-Apr-99,772,503.6
DALBHARAT,Dalmia Bharat Limited,EQ,22-Jan-19,8075,1968
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-96,781,281.7
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-Dec-24,28662,211.82
DAMODARIND,Damodar Industries Limited,EQ,04-Jul-16,17541,30.59
DANGEE,Dangee Dums Limited,EQ,13-Nov-20,1110,3.44
DATAMATICS,Datamatics Global Services Limited,EQ,07-May-04,11423,821.65
DATAPATTNS,Data Patterns (India) Limited,EQ,24-Dec-21,7358,2623.6
DAVANGERE,Davangere Sugar Company Limited,EQ,25-Jan-24,21794,3.86
DBCORP,D.B.Corp Limited,EQ,06-Jan-10,17881,244.45
DBEIL,Deepak Builders & Engineers India Limited,EQ,28-Oct-24,25892,121.96
DBL,Dilip Buildcon Limited,EQ,11-Aug-16,18086,463.45
DBOL,Dhampur Bio Organics Limited,EQ,08-Sep-22,10893,78
DBREALTY,Valor Estate Limited,EQ,24-Feb-10,18124,117.32
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-Feb-12,31107,24.99
DCAL,Dishman Carbogen Amcis Limited,EQ,21-Sep-17,21704,223.7
DCBBANK,DCB Bank Limited,EQ,27-Oct-06,13725,172.46
DCI,Dc Infotech And Communication Limited,EQ,19-Oct-22,11566,243.25
DCM,DCM  Limited,EQ,29-Mar-95,805,91.78
DCMFINSERV,DCM Financial Services Limited,EQ,21-May-97,4775,5.33
DCMNVL,DCM Nouvelle Limited,EQ,16-Jul-19,11039,131.59
DCMSHRIRAM,DCM Shriram Limited,EQ,12-Apr-95,811,1224.7
DCMSRIND,DCM Shriram Industries Limited,EQ,24-Dec-21,7325,169.91
DCW,DCW Limited,EQ,25-May-95,817,54.5
DCXINDIA,DCX Systems Limited,EQ,11-Nov-22,11895,160.56
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-Jan-25,29098,290.9
DECCANCE,Deccan Cements Limited,EQ,02-Aug-07,14838,762.25
DEEDEV,DEE Development Engineers Limited,EQ,26-Jun-24,24154,208.12
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-Jan-03,827,1249
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-Sep-10,19943,1526.3
DEEPINDS,Deep Industries Limited,EQ,27-Apr-21,3292,431.2
DELHIVERY,Delhivery Limited,EQ,24-May-22,9599,415.3
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-Jun-11,24391,250.5
DELTACORP,Delta Corp Limited,EQ,02-Nov-07,15044,71.68
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-Oct-95,1214,71.69
DEN,Den Networks Limited,EQ,24-Nov-09,17722,30.75
DENORA,De Nora India Limited,EQ,07-Aug-97,4279,690.8
DENTA,Denta Water and Infra Solutions Limited,EQ,29-Jan-25,29256,341.65
DEVIT,Dev Information Technology Limited,EQ,15-Feb-22,8146,38.08
DEVX,Dev Accelerator Limited,EQ,17-Sep-25,759079,43
DEVYANI,Devyani International Limited,EQ,16-Aug-21,5373,134.84
DGCONTENT,Digicontent Limited,EQ,18-Jun-19,10346,30.25
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-Mar-95,857,116.02
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-Apr-04,11359,25.21
DHANUKA,Dhanuka Agritech Limited,EQ,29-Jun-11,24409,1213.6
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-Dec-22,13001,244.11
DHRUV,Dhruv Consultancy Services Limited,EQ,25-Nov-21,6858,48.53
DHUNINV,Dhunseri Investments Limited,EQ,18-Mar-11,22233,1126.6
DIACABS,Diamond Power Infrastructure Limited,EQ,15-Sep-23,18543,141.73
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-Sep-23,18644,262
DIAMONDYD,Prataap Snacks Limited,EQ,05-Oct-17,21840,1039.3
DICIND,DIC India Limited,EQ,30-Aug-95,703,489.4
DIFFNKG,Diffusion Engineers Limited,EQ,04-Oct-24,25672,293.8
DIGIDRIVE,Digidrive Distributors Limited,EQ,10-Jan-24,21247,26.46
DIGITIDE,Digitide Solutions Limited,EQ,11-Jun-25,757515,133.7
DIGJAMLMTD,Digjam Limited,EQ,18-Oct-21,6127,42.01
DIL,Debock Industries Limited,EQ,31-Mar-22,8657,1.74
DISHTV,Dish TV India Limited,EQ,18-Apr-07,14537,4.06
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-Mar-23,14479,607.15
DIVISLAB,Divi's Laboratories Limited,EQ,12-Mar-03,10940,6294
DIXON,Dixon Technologies (India) Limited,EQ,18-Sep-17,21690,13517
DJML,DJ Mediaprint & Logistics Limited,EQ,05-Dec-22,12749,57.48
DLF,DLF Limited,EQ,05-Jul-07,14732,690.05
DLINKINDIA,D-Link (India) Limited,EQ,18-Dec-09,17851,426.95
DMART,Avenue Supermarts Limited,EQ,21-Mar-17,19913,3910
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-Dec-21,6973,261.25
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-Dec-17,641,3.96
DODLA,Dodla Dairy Limited,EQ,28-Jun-21,4822,1218.9
DOLATALGO,Dolat Algotech Limited,EQ,12-Jan-24,12124,85.34
DOLLAR,Dollar Industries Limited,EQ,21-Apr-17,20560,337.4
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,21-Aug-23,18139,332.9
DOMS,DOMS Industries Limited,EQ,20-Dec-23,20551,2536.8
DONEAR,Donear Industries Limited,EQ,20-Dec-06,13839,98.48
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-Nov-20,936,1483.9
DPSCLTD,DPSC Limited,EQ,21-Apr-08,15419,10.31
DPWIRES,D P Wires Limited,EQ,17-Jan-20,16900,193.55
DRCSYSTEMS,DRC Systems India Limited,EQ,10-Mar-21,2645,17.81
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-Sep-22,10859,111.7
DREDGECORP,Dredging Corporation of India Limited,EQ,15-Jan-04,11271,1029.05
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-May-03,881,1246.2
DSSL,Dynacons Systems & Solutions Limited,EQ,01-Dec-11,25690,869.5
DTIL,Dhunseri Tea & Industries Limited,EQ,20-Jan-15,6227,161.99
DUCON,Ducon Infratechnologies Limited,EQ,09-Oct-12,28952,3.64
DVL,Dhunseri Ventures Limited,EQ,11-Jan-08,15214,276.85
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-Dec-04,11667,37.5
DYCL,Dynamic Cables Limited,EQ,27-Jul-22,10417,328.15
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-Sep-06,4525,9667.5
DYNPRO,Dynemic Products Limited,EQ,19-Jul-17,21314,267.1
E2E,E2E Networks Limited,EQ,12-Apr-22,8937,2150.1
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-Mar-21,2792,7.73
EBGNG,GNG Electronics Limited,EQ,30-Jul-25,757862,290
ECLERX,eClerx Services Limited,EQ,31-Dec-07,15179,4498.9
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,04-Sep-24,25060,230.01
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-Dec-07,15119,104.09
EFCIL,EFC (I) Limited,EQ,20-Aug-25,758675,270.5
EICHERMOT,Eicher Motors Limited,EQ,07-Sep-04,910,7123
EIDPARRY,EID Parry India Limited,EQ,10-May-95,916,1009.5
EIEL,Enviro Infra Engineers Limited,EQ,29-Nov-24,27213,201.59
EIFFL,Euro India Fresh Foods Limited,EQ,12-Oct-21,6040,208.43
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-Apr-08,15399,353
EIHOTEL,EIH Limited,EQ,08-Feb-95,919,381.25
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-Apr-96,4040,1609
EKC,Everest Kanto Cylinder Limited,EQ,15-Dec-05,13091,117.78
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-Apr-22,8953,909.85
ELECON,Elecon Engineering Company Limited,EQ,29-Sep-06,13643,476.95
ELECTCAST,Electrosteel Castings Limited,EQ,20-Jun-03,18116,0
ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-07,4469,818.65
ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-95,937,492.75
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-11,24924,47.73
ELIN,Elin Electronics Limited,EQ,30-Dec-22,13423,173.45
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-Jul-25,758563,351.35
EMAMILTD,Emami Limited,EQ,03-Aug-06,13517,519.75
EMAMIPAP,Emami Paper Mills Limited,EQ,30-May-19,10074,87.97
EMAMIREAL,Emami Realty Limited,EQ,28-Jul-10,19277,86.41
EMBDL,Embassy Developments Limited,EQ,23-Mar-07,14450,69.73
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-Jul-24,24398,1415.7
EMIL,Electronics Mart India Limited,EQ,17-Oct-22,11530,112.89
EMMBI,Emmbi Industries Limited,EQ,24-Feb-10,18142,96.82
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-Nov-25,759728,201.68
EMSLIMITED,EMS Limited,EQ,21-Sep-23,18593,414.4
EMUDHRA,eMudhra Limited,EQ,01-Jun-22,9756,606.75
ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-16,18822,2624.5
ENGINERSIN,Engineers India Limited,EQ,20-Aug-97,4907,197.14
ENIL,Entertainment Network (India) Limited,EQ,15-Feb-06,13192,117.89
ENRIN,Siemens Energy India Limited,EQ,19-Jun-25,756871,3032.8
ENTERO,Entero Healthcare Solutions Limited,EQ,16-Feb-24,22717,1015.6
EPACK,EPACK Durable Limited,EQ,30-Jan-24,22463,259.55
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-Oct-25,759251,301.25
EPIGRAL,Epigral Limited,EQ,18-Aug-21,5382,1444.8
EPL,EPL Limited,EQ,11-Feb-02,981,203.03
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-Nov-20,913,58.48
ERIS,Eris Lifesciences Limited,EQ,29-Jun-17,21154,1701.3
ESABINDIA,Esab India Limited,EQ,01-Nov-95,955,5839.5
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-Nov-23,19878,25.05
ESCORTS,Escorts Kubota Limited,EQ,01-Mar-95,958,3674.8
ESSENTIA,Integra Essentia Limited,EQ,20-Aug-13,30323,1.62
ESTER,Ester Industries Limited,EQ,20-Jun-11,24265,106.5
ETERNAL,ETERNAL LIMITED,EQ,23-Jul-21,5097,291.7
ETHOSLTD,Ethos Limited,EQ,30-May-22,9750,3044.7
EUREKAFORB,Eureka Forbes Limited,EQ,11-Sep-24,25162,646.2
EUROBOND,Euro Panel Products Limited,EQ,01-Aug-25,757953,182.16
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-Sep-25,759797,319.1
EVEREADY,Eveready Industries India Limited,EQ,27-Apr-05,11782,320.9
EVERESTIND,Everest Industries Limited,EQ,29-Mar-95,993,499.5
EXCEL,Excel Realty N Infra Limited,EQ,03-Aug-09,17376,1.15
EXCELINDUS,Excel Industries Limited,EQ,16-Jun-04,11471,926.45
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-Nov-25,760007,96.23
EXICOM,Exicom Tele-Systems Limited,EQ,05-Mar-24,22947,106.67
EXIDEIND,Exide Industries Limited,EQ,17-Jun-03,676,373.4
EXPLEOSOL,Expleo Solutions Limited,EQ,26-Oct-09,17486,1023.2
FABTECH,Fabtech Technologies Limited,EQ,07-Oct-25,760125,235.63
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-95,1008,811.8
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-Dec-20,1614,679.95
FAZE3Q,Faze Three Limited,EQ,18-Nov-22,12000,456.45
FCL,Fineotex Chemical Limited,EQ,15-Jan-15,6198,25.12
FCSSOFT,FCS Software Solutions Limited,EQ,21-Sep-05,11999,1.95
FDC,FDC Limited,EQ,07-Aug-97,4898,417.75
FEDERALBNK,The Federal Bank  Limited,EQ,08-Feb-95,1023,260.85
FEDFINA,Fedbank Financial Services Limited,EQ,30-Nov-23,20322,143.55
FIBERWEB,Fiberweb (India) Limited,EQ,16-Feb-22,8159,36.27
FIEMIND,Fiem Industries Limited,EQ,19-Oct-06,13710,2273.7
FILATEX,Filatex India Limited,EQ,29-Aug-11,24532,51.08
FILATFASH,Filatex Fashions Limited,EQ,06-May-24,23647,0.42
FINCABLES,Finolex Cables Limited,EQ,15-Feb-95,1038,726.45
FINEORG,Fine Organic Industries Limited,EQ,02-Jul-18,3744,4336.7
FINKURVE,Finkurve Financial Services Limited,EQ,01-Oct-25,759239,104.04
FINOPB,Fino Payments Bank Limited,EQ,12-Nov-21,6579,274.05
FINPIPE,Finolex Industries Limited,EQ,08-Feb-95,1041,165.76
FIRSTCRY,Brainbees Solutions Limited,EQ,13-Aug-24,24814,290.15
FISCHER,Fischer Medical Ventures Limited,EQ,10-Jul-25,757658,44.76
FIVESTAR,Five-Star Business Finance Limited,EQ,21-Nov-22,12032,578.4
FLAIR,Flair Writing Industries Limited,EQ,01-Dec-23,20372,289
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-Oct-11,25512,15.3
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-Oct-19,13750,3485.4
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-95,1190,472.95
FMNL,Future Market Networks Limited,EQ,31-Dec-10,21017,9.17
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-Nov-21,6836,66.98
FOODSIN,Foods & Inns Limited,EQ,16-Nov-21,6673,73.73
FORCEMOT,FORCE MOTORS LTD,EQ,14-Feb-24,11573,17112
FORTIS,Fortis Healthcare Limited,EQ,09-May-07,14592,863.85
FOSECOIND,Foseco India Limited,EQ,05-May-03,1073,5119.5
FSL,Firstsource Solutions Limited,EQ,22-Feb-07,14304,341.05
FUSION,Fusion Finance Limited,EQ,15-Nov-22,11932,161.58
GABRIEL,Gabriel India Limited,EQ,20-Apr-05,1085,976.2
GAEL,Gujarat Ambuja Exports Limited,EQ,11-Oct-00,8828,118.06
GAIL,GAIL (India) Limited,EQ,02-Apr-97,4717,167.89
GALAPREC,Gala Precision Engineering Limited,EQ,09-Sep-24,25134,717
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-Feb-18,1315,1969.7
GALLANTT,Gallantt Ispat Limited,EQ,04-Apr-06,13337,599.15
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-Nov-23,20303,121.88
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-Jan-07,14116,735.5
GANECOS,Ganesha Ecosphere Limited,EQ,09-Mar-15,6944,892.2
GANESHBE,Ganesh Benzoplast Limited,EQ,16-Sep-21,5614,78.68
GANESHCP,Ganesh Consumer Products Limited,EQ,29-Sep-25,759012,240.85
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-Mar-07,14339,835.2
GANGAFORGE,Ganga Forging Limited,EQ,06-Jul-21,4957,3.04
GANGESSECU,Ganges Securities Limited,EQ,28-Jul-17,21399,145.5
GARFIBRES,Garware Technical Fibres Limited,EQ,03-Apr-07,1100,690.1
GARUDA,Garuda Construction and Engineering Limited,EQ,15-Oct-24,25800,204.58
GATECH,GACM Technologies Limited,EQ,25-Jul-16,17888,0.55
GATECHDVR,GACM Technologies Limited,EQ,10-Oct-17,17,0.49
GATEWAY,Gateway Distriparks Limited,EQ,22-Mar-22,8510,61.57
GEECEE,GeeCee Ventures Limited,EQ,04-Oct-06,13658,345.5
GEEKAYWIRE,Geekay Wires Limited,EQ,06-Mar-20,17922,32.01
GEMAROMA,Gem Aromatics Limited,EQ,26-Aug-25,759461,143.82
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-Feb-21,2188,48.01
GENESYS,Genesys International Corporation Limited,EQ,23-Jan-03,10905,428.45
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-Feb-15,6600,13.37
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-Jul-05,11905,307.6
GEOJITFSL,Geojit Financial Services Limited,EQ,01-Jul-05,11896,69.67
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-Nov-06,13776,1076.8
GFLLIMITED,GFL Limited,EQ,25-May-95,1289,57.96
GHCL,GHCL Limited,EQ,31-Jul-03,1127,594.2
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-Jun-23,16696,72.52
GICHSGFIN,GIC Housing Finance Limited,EQ,08-May-96,1139,164.51
GICRE,General Insurance Corporation of India,EQ,25-Oct-17,277,378.1
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-Dec-09,17839,102.79
GILLETTE,Gillette India Limited,EQ,30-Jul-03,1576,8351
GINNIFILA,Ginni Filaments Limited,EQ,10-May-95,1142,39.02
GIPCL,Gujarat Industries Power Company Limited,EQ,08-Feb-95,1145,144.46
GKENERGY,GK Energy Limited,EQ,26-Sep-25,759048,137.51
GKWLIMITED,GKW Limited,EQ,20-Jul-09,17357,1679
GLAND,Gland Pharma Limited,EQ,20-Nov-20,1186,1714.4
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-00,1153,2559.2
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-Feb-00,7406,1938.5
GLOBALE,Globale Tessile Limited,EQ,27-Aug-24,24932,11.04
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-Oct-06,13735,196
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-Oct-20,393,2.47
GLOBECIVIL,Globe Civil Projects Limited,EQ,01-Jul-25,758572,62.29
GLOBUSSPR,Globus Spirits Limited,EQ,23-Sep-09,17424,981.9
GLOSTERLTD,Gloster Limited,EQ,26-Apr-24,23590,641
GLOTTIS,Glottis Limited,EQ,07-Oct-25,760116,59.37
GMBREW,GM Breweries Limited,EQ,23-Aug-95,1168,1011
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-97,5204,491.45
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-Mar-18,1570,1065.3
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-Aug-06,13528,100.41
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-Mar-22,8529,106.53
GNA,GNA Axles Limited,EQ,26-Sep-16,18571,306.15
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-95,1174,501.25
GOACARBON,Goa Carbon Limited,EQ,05-Jun-07,14687,390.75
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-14,3963,293.45
GOCOLORS,Go Fashion (India) Limited,EQ,30-Nov-21,6964,462.6
GODAVARIB,Godavari Biorefineries Limited,EQ,30-Oct-24,25941,244.25
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-96,1181,2772.1
GODIGIT,Go Digit General Insurance Limited,EQ,23-May-24,23799,340.4
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-17,144,595.7
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-01,10099,1128.8
GODREJIND,Godrej Industries Limited,EQ,25-Feb-03,10925,1018.3
GODREJPROP,Godrej Properties Limited,EQ,05-Jan-10,17875,2043
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-05,11778,824.25
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-Jun-08,16705,39.95
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-16,14480,194.39
GOLDIAM,Goldiam International Limited,EQ,29-Aug-05,11971,373.8
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,11-Apr-01,9874,50.6
GOODLUCK,Goodluck India Limited,EQ,08-Jan-15,6125,1094.9
GOPAL,Gopal Snacks Limited,EQ,14-Mar-24,23066,324.1
GOYALALUM,Goyal Aluminiums Limited,EQ,04-Nov-22,11787,6.47
GPIL,Godawari Power And Ispat limited,EQ,25-Apr-06,13409,230.59
GPPL,Gujarat Pipavav Port Limited,EQ,09-Sep-10,19731,188.89
GPTHEALTH,GPT Healthcare Limited,EQ,29-Feb-24,22846,137.34
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-16,17685,104.93
GRANULES,Granules India Limited,EQ,20-Jun-05,11872,560.45
GRAPHITE,Graphite India Limited,EQ,07-Feb-03,592,540.8
GRASIM,Grasim Industries Limited,EQ,10-May-95,1232,2746
GRAVITA,Gravita India Limited,EQ,16-Nov-10,20534,1802.4
GREAVESCOT,Greaves Cotton Limited,EQ,09-Sep-04,1235,181.28
GREENLAM,Greenlam Industries Limited,EQ,02-Mar-15,6848,240.4
GREENPANEL,Greenpanel Industries Limited,EQ,23-Oct-19,13810,228.19
GREENPLY,Greenply Industries Limited,EQ,06-Mar-96,3987,270.5
GREENPOWER,Orient Green Power Company Limited,EQ,08-Oct-10,20110,11.94
GRINDWELL,Grindwell Norton Limited,EQ,11-Sep-06,13560,1602.8
GRINFRA,G R Infraprojects Limited,EQ,19-Jul-21,5054,1016.6
GRMOVER,GRM Overseas Limited,EQ,07-Sep-22,10871,464.95
GROBTEA,The Grob Tea Company Limited,EQ,14-Jul-16,17770,1002.6
GROWW,Billionbrains Garage Ventures Limited,EQ,12-Nov-25,759806,149.45
GRPLTD,GRP Limited,EQ,12-Feb-15,6543,1750
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-18,5475,2446
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-Feb-22,7982,3644.9
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-Sep-95,1247,172.49
GSPL,Gujarat State Petronet Limited,EQ,16-Feb-06,13197,283.8
GSS,GSS Infotech Limited,EQ,07-Mar-08,15347,17.87
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,13-Nov-20,1129,22.78
GTL,GTL Limited,EQ,29-Mar-95,1162,7.74
GTLINFRA,GTL Infrastructure Limited,EQ,09-Nov-06,13745,1.29
GTPL,GTPL Hathway Limited,EQ,04-Jul-17,21195,98.96
GUFICBIO,Gufic Biosciences Limited,EQ,19-Oct-04,11606,351.7
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-Aug-97,1267,511.05
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-Jun-07,14677,409.5
GUJGASLTD,Gujarat Gas Limited,EQ,15-Sep-15,10599,398.4
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-Feb-25,29731,384.5
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-Jul-14,4391,1139.4
